ts,open,high,low,close,volume,Trading_Day,Session
2026-04-08 19:49:00,35198.0,35207.0,35198.0,35207.0,18,2026-04-09,2
2026-04-08 19:50:00,35205.0,35212.0,35201.0,35212.0,60,2026-04-09,2
2026-04-08 19:51:00,35211.0,35219.0,35207.0,35218.0,37,2026-04-09,2
2026-04-08 19:52:00,35220.0,35225.0,35212.0,35214.0,44,2026-04-09,2
2026-04-08 19:53:00,35212.0,35215.0,35208.0,35208.0,41,2026-04-09,2
2026-04-08 19:54:00,35207.0,35215.0,35204.0,35210.0,39,2026-04-09,2
2026-04-08 19:55:00,35210.0,35214.0,35209.0,35213.0,21,2026-04-09,2
2026-04-08 19:56:00,35214.0,35221.0,35207.0,35207.0,35,2026-04-09,2
2026-04-08 19:57:00,35212.0,35212.0,35195.0,35204.0,40,2026-04-09,2
2026-04-08 19:58:00,35210.0,35220.0,35210.0,35220.0,14,2026-04-09,2
2026-04-08 19:59:00,35218.0,35222.0,35217.0,35221.0,14,2026-04-09,2
2026-04-08 20:00:00,35221.0,35222.0,35214.0,35217.0,35,2026-04-09,2
2026-04-08 20:01:00,35218.0,35222.0,35206.0,35222.0,35,2026-04-09,2
2026-04-08 20:02:00,35224.0,35233.0,35218.0,35224.0,66,2026-04-09,2
2026-04-08 20:03:00,35224.0,35244.0,35219.0,35238.0,40,2026-04-09,2
2026-04-08 20:04:00,35239.0,35243.0,35235.0,35241.0,39,2026-04-09,2
2026-04-08 20:05:00,35240.0,35255.0,35240.0,35253.0,56,2026-04-09,2
2026-04-08 20:06:00,35252.0,35262.0,35246.0,35251.0,107,2026-04-09,2
2026-04-08 20:07:00,35252.0,35278.0,35252.0,35269.0,123,2026-04-09,2
2026-04-08 20:08:00,35272.0,35274.0,35256.0,35260.0,88,2026-04-09,2
2026-04-08 20:09:00,35259.0,35259.0,35238.0,35252.0,115,2026-04-09,2
2026-04-08 20:10:00,35257.0,35257.0,35237.0,35238.0,47,2026-04-09,2
2026-04-08 20:11:00,35237.0,35244.0,35231.0,35237.0,50,2026-04-09,2
2026-04-08 20:12:00,35233.0,35248.0,35230.0,35240.0,52,2026-04-09,2
2026-04-08 20:13:00,35241.0,35250.0,35237.0,35240.0,108,2026-04-09,2
2026-04-08 20:14:00,35246.0,35257.0,35245.0,35254.0,26,2026-04-09,2
2026-04-08 20:15:00,35253.0,35262.0,35251.0,35259.0,50,2026-04-09,2
2026-04-08 20:16:00,35259.0,35260.0,35253.0,35256.0,23,2026-04-09,2
2026-04-08 20:17:00,35256.0,35270.0,35256.0,35266.0,60,2026-04-09,2
2026-04-08 20:18:00,35264.0,35275.0,35257.0,35269.0,48,2026-04-09,2
2026-04-08 20:19:00,35273.0,35286.0,35257.0,35263.0,109,2026-04-09,2
2026-04-08 20:20:00,35263.0,35276.0,35199.0,35210.0,324,2026-04-09,2
2026-04-08 20:21:00,35215.0,35223.0,35170.0,35204.0,219,2026-04-09,2
2026-04-08 20:22:00,35204.0,35218.0,35102.0,35132.0,589,2026-04-09,2
2026-04-08 20:23:00,35135.0,35179.0,35128.0,35147.0,208,2026-04-09,2
2026-04-08 20:24:00,35150.0,35175.0,35144.0,35157.0,128,2026-04-09,2
2026-04-08 20:25:00,35166.0,35182.0,35143.0,35144.0,173,2026-04-09,2
2026-04-08 20:26:00,35147.0,35149.0,35119.0,35140.0,119,2026-04-09,2
2026-04-08 20:27:00,35146.0,35168.0,35141.0,35163.0,98,2026-04-09,2
