timestamp,Open,High,Low,Close,Volume,Dividends,Stock Splits,Amount,Date
,78.3,78.5,78.3,78.5,262,,,20542100.0,2026-04-22 12:59:00
,78.5,78.5,78.3,78.4,378,,,29620700.0,2026-04-22 13:00:00
,78.4,78.4,78.3,78.3,159,,,12453300.0,2026-04-22 13:01:00
,78.3,78.4,78.2,78.3,254,,,19895000.0,2026-04-22 13:02:00
,78.3,78.5,78.3,78.3,481,,,37698700.0,2026-04-22 13:03:00
,78.4,78.4,78.2,78.3,279,,,21852100.0,2026-04-22 13:04:00
,78.4,78.4,78.3,78.4,367,,,28743500.0,2026-04-22 13:05:00
,78.3,78.8,78.3,78.7,2136,,,167796300.0,2026-04-22 13:06:00
,78.7,78.8,78.6,78.7,559,,,43993100.0,2026-04-22 13:07:00
,78.7,78.8,78.6,78.7,677,,,53280400.0,2026-04-22 13:08:00
,78.7,78.9,78.7,78.8,1503,,,118478400.0,2026-04-22 13:09:00
,78.8,79.2,78.8,79.2,4651,,,367422100.0,2026-04-22 13:10:00
,79.1,79.2,78.9,79.0,892,,,70532900.0,2026-04-22 13:11:00
,79.0,79.1,78.9,79.0,769,,,60746800.0,2026-04-22 13:12:00
,79.1,79.1,78.9,79.0,634,,,50091300.0,2026-04-22 13:13:00
,78.9,79.0,78.9,78.9,364,,,28732500.0,2026-04-22 13:14:00
,78.9,79.0,78.8,78.8,603,,,47571000.0,2026-04-22 13:15:00
,78.9,78.9,78.8,78.8,544,,,42879300.0,2026-04-22 13:16:00
,78.8,78.9,78.8,78.8,290,,,22864400.0,2026-04-22 13:17:00
,78.8,78.9,78.8,78.8,510,,,40201200.0,2026-04-22 13:18:00
,78.9,78.9,78.8,78.9,528,,,41620900.0,2026-04-22 13:19:00
,78.9,78.9,78.7,78.8,763,,,60140100.0,2026-04-22 13:20:00
,78.7,78.9,78.7,78.9,2645,,,208518000.0,2026-04-22 13:21:00
,78.9,79.0,78.9,78.9,545,,,43020800.0,2026-04-22 13:22:00
,79.0,79.0,78.9,78.9,636,,,50205400.0,2026-04-22 13:23:00
,78.9,79.0,78.8,78.8,576,,,45455600.0,2026-04-22 13:24:00
,78.8,78.9,78.8,78.9,972,,,76634700.0,2026-04-22 13:25:00
,78.6,78.6,78.6,78.6,11251,,,884328600.0,2026-04-22 13:30:00
,79.5,79.5,78.5,78.6,11616,,,919701100.0,2026-04-23 09:01:00
,78.7,79.3,78.2,79.0,4211,,,332077600.0,2026-04-23 09:02:00
