timestamp,Open,High,Low,Close,Volume,Amount,Date
,352.5,352.5,347.5,347.5,145,50822000.0,2026-04-30 09:04:00
,348.5,349.5,345.5,349.5,78,27072000.0,2026-04-30 09:05:00
,349.5,353.0,349.5,350.5,118,41507000.0,2026-04-30 09:06:00
,351.0,351.5,350.5,351.5,45,15789000.0,2026-04-30 09:07:00
,351.5,354.0,350.5,350.5,135,47586500.0,2026-04-30 09:08:00
,350.0,350.5,347.0,347.0,116,40434500.0,2026-04-30 09:09:00
,347.0,349.0,347.0,348.5,58,20168500.0,2026-04-30 09:10:00
,349.0,349.5,348.0,349.5,34,11850500.0,2026-04-30 09:11:00
,349.5,350.5,349.0,350.5,47,16454500.0,2026-04-30 09:12:00
,350.5,351.0,349.0,349.5,42,14694500.0,2026-04-30 09:13:00
,349.0,349.0,348.5,349.0,27,9418500.0,2026-04-30 09:14:00
,349.0,349.5,348.5,348.5,28,9767500.0,2026-04-30 09:15:00
,348.5,348.5,347.0,347.0,91,31622000.0,2026-04-30 09:16:00
,348.0,352.0,348.0,351.5,61,21377000.0,2026-04-30 09:17:00
,351.5,353.5,351.0,353.5,89,31355500.0,2026-04-30 09:18:00
,353.0,353.0,352.0,353.0,41,14462500.0,2026-04-30 09:19:00
,353.0,353.0,352.5,352.5,24,8464500.0,2026-04-30 09:20:00
,352.0,352.0,351.5,352.0,14,4927000.0,2026-04-30 09:21:00
,351.5,352.0,351.0,351.0,62,21778000.0,2026-04-30 09:22:00
,351.0,352.5,351.0,352.5,40,14068500.0,2026-04-30 09:23:00
,352.5,353.5,352.0,353.5,39,13765000.0,2026-04-30 09:24:00
,353.5,354.0,353.0,354.0,81,28666000.0,2026-04-30 09:25:00
,354.5,355.0,354.0,354.5,84,29782000.0,2026-04-30 09:26:00
,354.5,354.5,353.5,354.0,76,26915000.0,2026-04-30 09:27:00
,354.5,358.0,354.5,356.5,254,90439500.0,2026-04-30 09:28:00
,357.0,357.0,355.0,356.0,43,15300500.0,2026-04-30 09:29:00
,356.0,356.5,355.5,355.5,30,10678000.0,2026-04-30 09:30:00
,355.5,357.0,355.5,356.5,48,17109000.0,2026-04-30 09:31:00
,357.0,357.0,354.5,354.5,37,13152500.0,2026-04-30 09:32:00
,354.5,355.5,354.5,355.5,25,8870000.0,2026-04-30 09:33:00
,356.0,357.0,356.0,356.5,28,9980500.0,2026-04-30 09:34:00
,356.0,356.0,353.0,354.0,51,18081500.0,2026-04-30 09:35:00
,354.5,356.5,354.0,355.0,28,9943500.0,2026-04-30 09:36:00
,354.5,355.0,353.5,353.5,25,8853000.0,2026-04-30 09:37:00
,353.5,354.0,352.0,352.5,56,19762000.0,2026-04-30 09:38:00
,352.0,352.5,351.0,351.0,42,14774500.0,2026-04-30 09:39:00
,351.0,352.5,351.0,352.5,56,19708500.0,2026-04-30 09:40:00
,353.0,353.0,351.0,351.5,25,8796000.0,2026-04-30 09:41:00
,351.5,353.0,351.5,353.0,18,6341500.0,2026-04-30 09:42:00
,353.5,353.5,352.5,352.5,25,8823500.0,2026-04-30 09:43:00
,352.5,353.5,352.5,353.5,9,3176500.0,2026-04-30 09:44:00
,353.5,353.5,353.0,353.5,18,6357000.0,2026-04-30 09:45:00
,353.5,353.5,353.0,353.5,14,4948000.0,2026-04-30 09:46:00
,353.5,353.5,353.5,353.5,5,1767500.0,2026-04-30 09:47:00
,353.0,353.0,353.0,353.0,12,4236000.0,2026-04-30 09:48:00
,352.5,352.5,352.0,352.0,16,5638000.0,2026-04-30 09:49:00
,352.0,352.0,352.0,352.0,12,4224000.0,2026-04-30 09:50:00
,351.5,351.5,350.5,350.5,92,32303500.0,2026-04-30 09:51:00
,350.5,351.0,350.5,351.0,20,7014000.0,2026-04-30 09:52:00
,351.0,351.5,350.5,350.5,31,10877000.0,2026-04-30 09:53:00
,351.0,351.0,350.5,351.0,17,5964000.0,2026-04-30 09:54:00
,351.0,351.0,351.0,351.0,6,2106000.0,2026-04-30 09:55:00
,350.5,350.5,348.5,348.5,78,27263000.0,2026-04-30 09:56:00
,348.5,348.5,348.5,348.5,12,4182000.0,2026-04-30 09:57:00
,348.5,349.0,348.5,349.0,25,8723000.0,2026-04-30 09:58:00
,348.5,349.0,348.5,349.0,35,12201500.0,2026-04-30 09:59:00
,349.0,349.0,348.5,348.5,13,4536000.0,2026-04-30 10:00:00
,348.5,348.5,348.5,348.5,35,12197500.0,2026-04-30 10:01:00
,348.5,349.0,348.5,348.5,12,4182500.0,2026-04-30 10:02:00
,348.0,349.0,348.0,349.0,79,27500000.0,2026-04-30 10:03:00
,349.0,349.5,348.5,349.5,18,6284000.0,2026-04-30 10:04:00
,349.5,350.0,349.5,350.0,37,12943000.0,2026-04-30 10:05:00
,349.5,349.5,349.5,349.5,8,2796000.0,2026-04-30 10:06:00
