Date,Open,High,Low,Close,Volume,Amount
2024-07-19 10:31:00,21.5,21.5,21.45,21.45,4,85900.0
2024-07-19 10:32:00,21.45,21.45,21.4,21.4,3,64250.0
2024-07-19 10:33:00,21.4,21.4,21.4,21.4,2,42800.0
2024-07-19 10:34:00,21.4,21.4,21.4,21.4,10,214000.0
2024-07-19 10:35:00,21.4,21.4,21.4,21.4,6,128400.0
2024-07-19 10:36:00,21.45,21.5,21.45,21.5,7,150450.0
2024-07-19 10:37:00,21.5,21.5,21.5,21.5,1,21500.0
2024-07-19 10:38:00,21.5,21.5,21.5,21.5,2,43000.0
2024-07-19 10:41:00,21.55,21.55,21.55,21.55,15,323250.0
2024-07-19 10:42:00,21.55,21.55,21.55,21.55,2,43100.0
2024-07-19 10:43:00,21.5,21.5,21.5,21.5,3,64500.0
2024-07-19 10:44:00,21.5,21.6,21.5,21.6,23,496300.0
2024-07-19 10:45:00,21.6,21.7,21.6,21.65,48,1038950.0
2024-07-19 10:46:00,21.65,21.65,21.65,21.65,21,454650.0
2024-07-19 10:47:00,21.65,21.7,21.65,21.7,56,1215100.0
2024-07-19 10:48:00,21.7,21.75,21.7,21.7,54,1173850.0
2024-07-19 10:49:00,21.75,21.75,21.7,21.75,18,390950.0
2024-07-19 10:50:00,21.7,21.7,21.65,21.65,4,86700.0
2024-07-19 10:51:00,21.65,21.65,21.65,21.65,32,692800.0
2024-07-19 10:54:00,21.6,21.6,21.6,21.6,1,21600.0
2024-07-19 10:55:00,21.6,21.6,21.6,21.6,5,108000.0
2024-07-19 10:56:00,21.6,21.6,21.6,21.6,10,216000.0
2024-07-19 10:57:00,21.6,21.6,21.55,21.55,5,107800.0
2024-07-19 10:58:00,21.55,21.55,21.55,21.55,1,21550.0
2024-07-19 10:59:00,21.55,21.55,21.55,21.55,5,107750.0
2024-07-19 11:00:00,21.55,21.6,21.55,21.6,4,86300.0
2024-07-19 11:01:00,21.55,21.6,21.55,21.6,7,151150.0
2024-07-19 11:05:00,21.6,21.6,21.6,21.6,5,108000.0
2024-07-19 11:06:00,21.6,21.6,21.6,21.6,1,21600.0
2024-07-19 11:07:00,21.6,21.6,21.6,21.6,6,129600.0
2024-07-19 11:09:00,21.55,21.55,21.5,21.5,14,301550.0
2024-07-19 11:10:00,21.5,21.5,21.5,21.5,1,21500.0
2024-07-19 11:11:00,21.55,21.55,21.5,21.5,2,43050.0
2024-07-19 11:12:00,21.55,21.55,21.55,21.55,10,215500.0
2024-07-19 11:14:00,21.5,21.5,21.5,21.5,4,86000.0
2024-07-19 11:15:00,21.6,21.6,21.6,21.6,1,21600.0
2024-07-19 11:16:00,21.55,21.55,21.55,21.55,1,21550.0
2024-07-19 11:18:00,21.65,21.65,21.65,21.65,7,151550.0
2024-07-19 11:19:00,21.6,21.75,21.6,21.75,18,390750.0
2024-07-19 11:20:00,21.7,21.7,21.7,21.7,5,108500.0
2024-07-19 11:21:00,21.7,21.7,21.7,21.7,25,542500.0
2024-07-19 11:22:00,21.7,21.7,21.65,21.65,32,694350.0
2024-07-19 11:23:00,21.65,21.65,21.6,21.6,6,129800.0
2024-07-19 11:24:00,21.6,21.6,21.6,21.6,5,108000.0
2024-07-19 11:25:00,21.6,21.6,21.5,21.5,29,625250.0
2024-07-19 11:26:00,21.55,21.55,21.5,21.5,21,452500.0
2024-07-19 11:27:00,21.5,21.6,21.5,21.55,22,474600.0
2024-07-19 11:28:00,21.65,21.65,21.65,21.65,11,238150.0
2024-07-19 11:33:00,21.65,21.65,21.65,21.65,1,21650.0
2024-07-19 11:35:00,21.7,21.7,21.7,21.7,1,21700.0
2024-07-19 11:37:00,21.7,21.75,21.7,21.75,31,673700.0
2024-07-19 11:38:00,21.75,21.85,21.75,21.85,71,1549800.0
2024-07-19 11:39:00,21.85,21.85,21.8,21.8,14,305850.0
2024-07-19 11:40:00,21.8,21.8,21.8,21.8,1,21800.0
2024-07-19 11:41:00,21.8,21.8,21.8,21.8,1,21800.0
2024-07-19 11:42:00,21.8,21.8,21.8,21.8,12,261600.0
2024-07-19 11:43:00,21.8,21.8,21.8,21.8,20,436000.0
2024-07-19 11:44:00,21.8,21.8,21.8,21.8,20,436000.0
2024-07-19 11:45:00,21.85,21.85,21.85,21.85,6,131100.0
2024-07-19 11:46:00,21.85,21.85,21.85,21.85,12,262200.0
2024-07-19 11:47:00,21.85,21.9,21.85,21.85,6,131200.0
2024-07-19 11:48:00,21.85,21.85,21.85,21.85,10,218500.0
2024-07-19 11:49:00,21.8,21.8,21.8,21.8,1,21800.0
2024-07-19 11:50:00,21.8,21.8,21.8,21.8,1,21800.0
2024-07-19 11:53:00,21.85,21.85,21.8,21.8,10,218100.0
2024-07-19 11:54:00,21.8,21.8,21.75,21.75,14,304900.0
2024-07-19 11:55:00,21.75,21.75,21.7,21.7,3,65200.0
2024-07-19 11:56:00,21.7,21.7,21.7,21.7,4,86800.0
2024-07-19 11:58:00,21.65,21.7,21.65,21.7,3,65050.0
2024-07-19 11:59:00,21.7,21.75,21.65,21.75,14,303700.0
2024-07-19 12:00:00,21.65,21.65,21.65,21.65,2,43300.0
2024-07-19 12:02:00,21.65,21.65,21.65,21.65,2,43300.0
2024-07-19 12:03:00,21.65,21.65,21.65,21.65,1,21650.0
2024-07-19 12:04:00,21.65,21.65,21.6,21.6,16,345950.0
2024-07-19 12:06:00,21.6,21.7,21.6,21.7,3,64900.0
2024-07-19 12:07:00,21.75,21.8,21.75,21.8,13,283150.0
2024-07-19 12:08:00,21.8,21.8,21.8,21.8,1,21800.0
2024-07-19 12:12:00,21.8,21.8,21.8,21.8,1,21800.0
2024-07-19 12:13:00,21.75,21.75,21.7,21.7,7,152200.0
2024-07-19 12:14:00,21.7,21.7,21.7,21.7,5,108500.0
2024-07-19 12:15:00,21.7,21.7,21.7,21.7,6,130200.0
2024-07-19 12:16:00,21.7,21.75,21.7,21.75,3,65200.0
2024-07-19 12:17:00,21.7,21.7,21.7,21.7,1,21700.0
2024-07-19 12:18:00,21.7,21.7,21.65,21.7,3,65050.0
2024-07-19 12:19:00,21.65,21.7,21.65,21.65,3,65000.0
2024-07-19 12:21:00,21.65,21.65,21.65,21.65,9,194850.0
2024-07-19 12:25:00,21.65,21.65,21.6,21.6,3,64900.0
2024-07-19 12:27:00,21.6,21.6,21.6,21.6,10,216000.0
2024-07-19 12:28:00,21.65,21.7,21.65,21.7,22,476400.0
2024-07-19 12:31:00,21.65,21.65,21.6,21.6,25,541200.0
2024-07-19 12:32:00,21.6,21.65,21.6,21.65,8,173050.0
2024-07-19 12:33:00,21.6,21.6,21.55,21.55,33,712600.0
2024-07-19 12:34:00,21.55,21.65,21.55,21.6,8,172950.0
2024-07-19 12:36:00,21.65,21.65,21.65,21.65,11,238150.0
2024-07-19 12:37:00,21.65,21.65,21.65,21.65,1,21650.0
2024-07-19 12:38:00,21.7,21.7,21.7,21.7,32,694400.0
2024-07-19 12:39:00,21.7,21.7,21.7,21.7,8,173600.0
2024-07-19 12:40:00,21.7,21.7,21.7,21.7,1,21700.0
2024-07-19 12:41:00,21.7,21.7,21.7,21.7,1,21700.0
2024-07-19 12:42:00,21.7,21.8,21.7,21.8,117,2547950.0
2024-07-19 12:43:00,21.75,21.75,21.7,21.7,4,86950.0
2024-07-19 12:44:00,21.7,21.7,21.7,21.7,2,43400.0
2024-07-19 12:45:00,21.7,21.7,21.7,21.7,5,108500.0
2024-07-19 12:46:00,21.7,21.7,21.7,21.7,1,21700.0
2024-07-19 12:47:00,21.6,21.6,21.6,21.6,7,151200.0
2024-07-19 12:49:00,21.6,21.6,21.6,21.6,10,216000.0
2024-07-19 12:51:00,21.6,21.6,21.6,21.6,13,280800.0
2024-07-19 12:52:00,21.6,21.6,21.6,21.6,1,21600.0
2024-07-19 12:53:00,21.6,21.6,21.55,21.55,8,172700.0
