trade_id,release_ts,released_leg,release_fill_count,sibling_exit_fill_count,pre_release_paired_pnl,release_time_combined_valuation_gross,valuation_tier,immediate_executable_combined_pnl_gross,actual_full_pnl_gross,actual_full_pnl_net,post_release_incremental_pnl,unhedged_seconds,status,issue_flags,data_quality,entry_attribution,release_attribution,quote_age_s,schema_version
mts-auto-010052-132,2026-08-01T01:05:39.424169,FAR,1,1,,,UNUSABLE,,-690.0,-804.7,,85.23,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.04, 'NEAR': None}",exit_attribution.v1
mts-auto-011204-918,2026-08-01T01:24:31.930687,FAR,1,1,,,UNUSABLE,,-800.0,-914.7,,0.32,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.055, 'NEAR': None}",exit_attribution.v1
mts-auto-042639-889,2026-08-01T04:48:15.512249,FAR,1,1,,,UNUSABLE,,-480.0,-594.7,,0.43,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.297, 'NEAR': None}",exit_attribution.v1
mts-auto-102215-940,2026-08-03T10:24:01.716573,FAR,1,1,50.0,-1460.0,BOUNDED_TICK_PROXY,,-1120.0,-1234.7,-1170.0,3.07,OK,[],PROXY,UNKNOWN,UNKNOWN,"{'FAR': 0.044, 'NEAR': 1.717}",exit_attribution.v1
mts-auto-102904-822,2026-08-03T10:30:46.135614,NEAR,1,1,-1460.0,,UNUSABLE,,140.0,25.3,1600.0,7.13,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.001}",exit_attribution.v1
mts-auto-105549-987,2026-08-03T11:02:11.278676,FAR,1,1,,,UNUSABLE,,-750.0,-864.7,,11.02,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.029, 'NEAR': None}",exit_attribution.v1
mts-auto-115545-342,2026-08-03T11:57:25.253192,FAR,1,1,,,UNUSABLE,,-140.0,-254.7,,3.26,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.088, 'NEAR': None}",exit_attribution.v1
mts-auto-131654-522,2026-08-03T13:23:57.071954,FAR,1,1,,,UNUSABLE,,-500.0,-614.7,,8.72,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.064, 'NEAR': None}",exit_attribution.v1
mts-auto-155106-511,2026-08-03T16:01:22.510987,FAR,1,1,,,UNUSABLE,,-200.0,-314.7,,490.61,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.25, 'NEAR': None}",exit_attribution.v1
mts-auto-171102-999,2026-08-03T17:11:45.387479,FAR,1,1,,,UNUSABLE,,-980.0,-1094.7,,13.65,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.042, 'NEAR': None}",exit_attribution.v1
mts-auto-173905-346,2026-08-03T17:44:48.237286,FAR,1,1,,,UNUSABLE,,-930.0,-1044.7,,2.52,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.047, 'NEAR': None}",exit_attribution.v1
mts-auto-174950-834,2026-08-03T17:53:22.399428,FAR,1,1,,,UNUSABLE,,-1030.0,-1144.7,,15.94,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.046, 'NEAR': None}",exit_attribution.v1
mts-auto-180345-698,2026-08-03T18:11:37.207033,FAR,1,1,,,UNUSABLE,,-620.0,-734.7,,175.56,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.323, 'NEAR': None}",exit_attribution.v1
mts-auto-181933-193,2026-08-03T18:20:48.046079,FAR,1,1,,,UNUSABLE,,-920.0,-1034.7,,9.4,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.001, 'NEAR': None}",exit_attribution.v1
mts-auto-182558-304,2026-08-03T18:29:56.079353,NEAR,1,1,-1410.0,,UNUSABLE,,30.0,-84.7,1440.0,4.0,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'NEAR': None, 'FAR': 0.015}",exit_attribution.v1
mts-auto-183500-298,2026-08-03T19:01:20.113997,FAR,1,1,,,UNUSABLE,,-1390.0,-1504.7,,8.9,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.008, 'NEAR': None}",exit_attribution.v1
mts-auto-190629-081,2026-08-03T19:38:55.595187,FAR,1,1,,,UNUSABLE,,-1000.0,-1114.7,,9.57,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.02, 'NEAR': None}",exit_attribution.v1
mts-auto-194405-684,2026-08-03T20:06:01.392898,FAR,1,1,40.0,-1410.0,BOUNDED_TICK_PROXY,,-460.0,-574.7,-500.0,161.86,OK,[],PROXY,UNKNOWN,UNKNOWN,"{'FAR': 0.037, 'NEAR': 1.393}",exit_attribution.v1
mts-auto-201343-347,2026-08-03T21:02:16.680039,FAR,1,1,,,UNUSABLE,,-580.0,-694.7,,17.93,OK,[],UNUSABLE,UNKNOWN,UNKNOWN,"{'FAR': 0.09, 'NEAR': None}",exit_attribution.v1
