ts,Open,High,Low,Close,Volume,Amount
2026-07-09 18:09:00,46175.0,46175.0,46160.0,46160.0,9.0,415526.0
2026-07-09 18:10:00,46170.0,46180.0,46170.0,46180.0,5.0,230864.0
2026-07-09 18:12:00,46180.0,46209.0,46180.0,46209.0,29.0,1339680.0
2026-07-09 18:13:00,46207.0,46207.0,46197.0,46201.0,7.0,323410.0
2026-07-09 18:14:00,46191.0,46191.0,46170.0,46170.0,9.0,415645.0
2026-07-09 18:15:00,46166.0,46167.0,46143.0,46167.0,14.0,646179.0
2026-07-09 18:16:00,46170.0,46172.0,46162.0,46162.0,4.0,184671.0
2026-07-09 18:17:00,46175.0,46175.0,46172.0,46172.0,4.0,184695.0
2026-07-09 18:18:00,46180.0,46195.0,46180.0,46195.0,7.0,323309.0
2026-07-09 18:19:00,46195.0,46200.0,46195.0,46199.0,8.0,369579.0
2026-07-09 18:20:00,46202.0,46205.0,46199.0,46199.0,5.0,231009.0
2026-07-09 18:21:00,46202.0,46211.0,46199.0,46199.0,12.0,554487.0
2026-07-09 18:22:00,46190.0,46194.0,46188.0,46194.0,3.0,138572.0
2026-07-09 18:23:00,46199.0,46199.0,46199.0,46199.0,1.0,46199.0
2026-07-09 18:24:00,46197.0,46197.0,46197.0,46197.0,1.0,46197.0
2026-07-09 18:25:00,46188.0,46188.0,46180.0,46180.0,4.0,184728.0
2026-07-09 18:26:00,46167.0,46170.0,46154.0,46155.0,8.0,369287.0
2026-07-09 18:27:00,46150.0,46150.0,46147.0,46150.0,7.0,323043.0
2026-07-09 18:28:00,46155.0,46169.0,46155.0,46169.0,3.0,138484.0
2026-07-09 18:29:00,46171.0,46174.0,46171.0,46172.0,4.0,184690.0
2026-07-09 18:30:00,46172.0,46181.0,46172.0,46181.0,4.0,184707.0
2026-07-09 18:31:00,46172.0,46172.0,46165.0,46171.0,4.0,184680.0
2026-07-09 18:32:00,46159.0,46160.0,46158.0,46158.0,4.0,184637.0
2026-07-09 18:33:00,46160.0,46163.0,46145.0,46145.0,18.0,830800.0
2026-07-09 18:34:00,46147.0,46151.0,46135.0,46151.0,17.0,784378.0
2026-07-09 18:35:00,46151.0,46163.0,46151.0,46163.0,3.0,138470.0
2026-07-09 18:36:00,46171.0,46171.0,46171.0,46171.0,1.0,46171.0
2026-07-09 18:37:00,46171.0,46181.0,46171.0,46181.0,8.0,369406.0
2026-07-09 18:38:00,46181.0,46181.0,46173.0,46173.0,3.0,138530.0
2026-07-09 18:39:00,46179.0,46179.0,46171.0,46171.0,2.0,92350.0
2026-07-09 18:40:00,46185.0,46185.0,46168.0,46171.0,7.0,323232.0
2026-07-09 18:41:00,46166.0,46166.0,46165.0,46165.0,3.0,138497.0
2026-07-09 18:42:00,46158.0,46168.0,46158.0,46168.0,4.0,184654.0
2026-07-09 18:43:00,46166.0,46166.0,46158.0,46158.0,3.0,138482.0
2026-07-09 18:44:00,46159.0,46163.0,46154.0,46156.0,9.0,415427.0
2026-07-09 18:45:00,46160.0,46172.0,46160.0,46172.0,5.0,230826.0
2026-07-09 18:46:00,46155.0,46155.0,46140.0,46144.0,9.0,415334.0
2026-07-09 18:47:00,46132.0,46132.0,46066.0,46087.0,108.0,4978358.0
2026-07-09 18:48:00,46087.0,46094.0,46087.0,46094.0,9.0,414806.0
2026-07-09 18:49:00,46090.0,46090.0,46074.0,46074.0,20.0,921719.0
2026-07-09 18:50:00,46074.0,46083.0,46071.0,46074.0,18.0,829372.0
2026-07-09 18:51:00,46072.0,46085.0,46068.0,46081.0,24.0,1105779.0
2026-07-09 18:52:00,46080.0,46081.0,46068.0,46073.0,17.0,783296.0
2026-07-09 18:53:00,46073.0,46073.0,46011.0,46011.0,76.0,3499589.0
2026-07-09 18:54:00,46024.0,46024.0,46002.0,46014.0,38.0,1748407.0
2026-07-09 18:55:00,46014.0,46026.0,46002.0,46026.0,51.0,2346671.0
2026-07-09 18:56:00,46025.0,46038.0,46000.0,46033.0,63.0,2898757.0
