ts,Close_near,Close_far,spread,spread_ma,spread_std,spread_z,vwap,vwap_std,vwap_z
2026-06-25 21:20:00,46734.0,46990.0,-256.0,-248.45,3.7342652345702083,-2.021816749947322,46777.2,44.63253474622021,-0.967903800347247
2026-06-25 21:21:00,46743.0,46985.0,-242.0,-248.6,3.3779470563944525,1.9538494505134996,46782.1,43.73954010272094,-0.8939280090319519
2026-06-25 21:22:00,46737.0,46988.0,-251.0,-248.4,3.084767328940484,-0.8428512502733906,46788.15,39.67403366615547,-1.2892563541789737
2026-06-25 21:23:00,46733.0,46984.0,-251.0,-248.55,3.136793535479342,-0.7810523620023966,46792.75,34.94337524707282,-1.7099092339399928
2026-06-25 21:24:00,46707.0,46960.0,-253.0,-248.9,3.2265347225474112,-1.2707131187365512,46796.55,32.738959568940246,-2.73527323956134
2026-06-25 21:25:00,46712.0,46966.0,-254.0,-249.1,3.4166773641274704,-1.434141851216712,46799.7,27.73578346076028,-3.1619802672627695
2026-06-25 21:26:00,46731.0,46983.0,-252.0,-249.3,3.4656206249103922,-0.7790812360108805,46801.45,24.635180235475723,-2.8597314623477383
2026-06-25 21:27:00,46750.0,47001.0,-251.0,-249.3,3.4656206249103922,-0.49053263008092357,46803.4,20.55390857879477,-2.5980460015811118
2026-06-25 21:28:00,46773.0,47025.0,-252.0,-249.55,3.4713109915441094,-0.7057852223462637,46804.5,18.72937461995605,-1.681850069165519
2026-06-25 21:29:00,46750.0,47011.0,-261.0,-250.25,4.253481546118804,-2.5273413986735425,46804.4,18.82719198035667,-2.8894377906572384
2026-06-25 21:30:00,46738.0,46990.0,-252.0,-250.65,4.003616785912032,-0.3371951093697049,46802.75,19.199438039263583,-3.3724945421623165
2026-06-25 21:31:00,46636.0,46888.0,-252.0,-250.75,4.011496636315863,-0.31160439938645773,46801.45,20.24709205820291,-8.171543820929418
2026-06-25 21:32:00,46579.0,46831.0,-252.0,-250.85,4.016741281976153,-0.2863017354790223,46798.9,20.85766298594049,-10.542887769748187
2026-06-25 21:33:00,46628.0,46884.0,-256.0,-251.1,4.178894338787788,-1.172558960038553,46795.75,18.46725409087521,-9.083646067494483
2026-06-25 21:34:00,46608.0,46862.0,-254.0,-251.4,4.159959513974948,-0.6250060826951721,46792.4,16.990399765283065,-10.853187832389375
2026-06-25 21:35:00,46596.0,46860.0,-264.0,-252.25,4.88687824151419,-2.404397944721308,46791.0,16.877265928968665,-11.554004115399753
2026-06-25 21:36:00,46651.0,46909.0,-258.0,-252.8,4.8839155990827745,-1.0647194642300077,46789.85,17.43642587638587,-7.963214536302588
2026-06-25 21:37:00,46616.0,46878.0,-262.0,-253.3,5.292497172016856,-1.643836494802435,46787.2,19.26436579409456,-8.886874441123725
2026-06-25 21:38:00,46599.0,46858.0,-259.0,-253.9,5.22040530792051,-0.976935639894122,46784.15,21.34743914080897,-8.673171464677385
2026-06-25 21:39:00,46524.0,46782.0,-258.0,-254.5,4.9470884579259256,-0.7074868439824463,46780.0,22.845015579311806,-11.20594552064262
2026-06-25 21:40:00,46527.0,46784.0,-257.0,-254.55,4.968055851878685,-0.49315065551719073,46777.05,25.05252377198944,-9.981030345516613
2026-06-25 21:41:00,46458.0,46720.0,-262.0,-255.55,4.273233707136512,-1.5093955636519876,46772.7,24.568057995353534,-12.809315252329473
2026-06-25 21:42:00,46391.0,46655.0,-264.0,-256.2,4.525948577517685,-1.7233956299781963,46768.9,22.847088953826777,-16.540400431920453
2026-06-25 21:43:00,46279.0,46541.0,-262.0,-256.75,4.529145382382392,-1.1591590811859585,46765.75,22.675920453242096,-21.46550130142156
2026-06-25 21:44:00,46161.0,46422.0,-261.0,-257.15,4.533791256543897,-0.8491789282188683,46761.7,20.756989944612855,-28.939648841324374
2026-06-25 21:45:00,46162.0,46434.0,-272.0,-258.05,5.548589199542791,-2.514152606783267,46757.85,23.378521406213018,-25.487069504816798
2026-06-25 21:46:00,46039.0,46299.0,-260.0,-258.45,5.3751376971365055,-0.2883647056754922,46754.75,25.166550481574046,-28.440528650282996
2026-06-25 21:47:00,45949.0,46207.0,-258.0,-258.8,5.0845483161208795,0.15733944300687658,46752.45,25.12804053317689,-31.974240050241534
2026-06-25 21:48:00,45901.0,46160.0,-259.0,-259.15,4.826189517950828,0.031080420576535168,46750.75,24.006303996320497,-35.396952405928175
2026-06-25 21:49:00,45738.0,46003.0,-265.0,-259.35,4.98708859271616,-1.1329255325947138,46750.1,23.162810482725813,-43.69504299811955
