,Open,High,Low,Close,Volume,trading_day,sqz_on,momentum,atr,mom_velo,vwap,price_vs_vwap,fired,mom_prev,mom_state,ema_fast,ema_slow,ema_filter,ema_macro,bullish_align,bearish_align,ema_200_up,macd_line,macd_signal,macd_hist,macd_rising,rsv,k_val,d_val,bb_upper,bb_lower,score,recent_high,recent_low,is_new_high,is_new_low,in_bull_pb_zone,in_bear_pb_zone,day_open,day_min,day_max,opening_bullish,opening_bearish,adx,session,regime,open,high,low,close,volume,amount,bull_align,bear_align,in_pb_zone
2026-04-15 10:05:00,37023.0,37052.0,36994.0,36996.0,972.0,2026-04-15,False,304.0,89.8,25.833333333333332,36778.38717224084,0.0059168670648888,False,289.5,3.0,36894.52788961924,36775.52815866202,36775.52815866202,,True,False,False,81.44665030125907,64.54632720108437,16.900323100174703,False,66.06334841628959,81.140928667851,84.98432089562542,37122.5141806285,36594.685819371494,100.0,37071.0,36637.0,False,False,False,False,36558.0,36551.0,37071.0,True,False,46.92334528861203,1.0,STRONG,37023.0,37052.0,36994.0,36996.0,972.0,0.0,True,False,False
2026-04-15 10:10:00,36997.0,37019.0,36954.0,37010.0,1555.0,2026-04-15,False,307.5,81.9,20.333333333333332,36784.93716582403,0.0061183422214751,False,304.0,3.0,36905.52523346503,36783.21576001736,36783.21576001736,,True,False,False,80.40334410269134,67.71773058140576,12.685613521285577,False,72.39819004524887,78.22668246031697,82.7317747505226,37138.76326559467,36604.03673440533,100.0,37071.0,36637.0,False,False,False,False,36558.0,36551.0,37071.0,True,False,46.17782995264459,1.0,STRONG,36997.0,37019.0,36954.0,37010.0,1555.0,0.0,True,False,False
2026-04-15 10:15:00,37008.0,37050.0,36995.0,37035.0,824.0,2026-04-15,False,284.8333333333333,75.95,-1.5555555555555618,36788.62918831751,0.0066969282932871,False,307.5,2.0,36917.85616361121,36791.4709810004,36791.4709810004,,True,False,False,80.66396352999436,70.30697717112349,10.35698635887087,False,82.4390243902439,79.63079643695929,81.69811531266816,37156.86896107726,36612.93103892274,66.66666666666666,37071.0,36637.0,False,False,False,False,36558.0,36551.0,37071.0,True,False,45.84628495442694,1.0,STRONG,37008.0,37050.0,36995.0,37035.0,824.0,0.0,True,False,False
2026-04-15 10:20:00,37031.0,37053.0,36963.0,36978.0,1070.0,2026-04-15,False,246.83333333333331,72.05,-19.05555555555556,36792.191543600566,0.0050502144233306,False,284.8333333333333,2.0,36923.58414802919,36797.58668654137,36797.58668654137,,True,False,False,75.40189654534333,71.32596104596746,4.075935499375873,False,31.61764705882353,63.62641331091404,75.6742146454168,37165.38914330549,36623.410856694514,66.66666666666666,37071.0,36637.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,44.71739593616245,1.0,STRONG,37031.0,37053.0,36963.0,36978.0,1070.0,0.0,True,False,True
2026-04-15 10:25:00,36974.0,37000.0,36956.0,36981.0,752.0,2026-04-15,False,203.16666666666663,68.3,-34.77777777777779,36794.655174208776,0.0050644536525468,False,246.83333333333331,2.0,36929.05232440736,36803.600237802304,36803.600237802304,,True,False,False,70.6592298588439,71.19261480854276,-0.5333849496988563,False,23.076923076923077,50.10991656625039,67.15278195236134,37166.72880917416,36649.37119082585,66.66666666666666,37071.0,36637.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,43.49477059884763,1.0,STRONG,36974.0,37000.0,36956.0,36981.0,752.0,0.0,True,False,True
2026-04-15 10:30:00,36983.0,37005.0,36968.0,36982.0,500.0,2026-04-15,False,160.83333333333331,68.3,-41.333333333333336,36796.26654854469,0.0050476167523754,False,203.16666666666663,2.0,36934.09496017809,36809.44941033338,36809.44941033338,,True,False,False,66.21800405194517,70.19769265722324,-3.9796886052780702,False,23.931623931623932,41.383819021374904,58.56312764203253,37162.3398650806,36682.5601349194,66.66666666666666,37071.0,36637.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,42.43308900376311,1.0,STRONG,36983.0,37005.0,36968.0,36982.0,500.0,0.0,True,False,True
2026-04-15 10:35:00,36981.0,36995.0,36960.0,36977.0,520.0,2026-04-15,False,115.33333333333331,67.8,-43.833333333333336,36797.86890472618,0.0048679747117315,False,160.83333333333331,2.0,36938.18115444685,36814.94287228966,36814.94287228966,,True,False,False,61.58492965563346,68.47514005690529,-6.89021040127183,False,19.65811965811966,34.141919233623156,50.42272483922941,37157.22890048437,36712.77109951563,66.66666666666666,37071.0,36637.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,41.22727894849307,1.0,STRONG,36981.0,36995.0,36960.0,36977.0,520.0,0.0,True,False,True
2026-04-15 10:40:00,36978.0,36990.0,36941.0,36964.0,786.0,2026-04-15,False,78.16666666666666,64.35,-41.66666666666666,36800.06579965678,0.0044547257397769,False,115.33333333333331,2.0,36940.64009211857,36819.82999123098,36819.82999123098,,True,False,False,56.216168465871306,66.0233457386985,-9.80717727282719,False,17.692307692307693,28.658715386518004,43.168055021658944,37128.88318904723,36772.21681095277,66.66666666666666,37071.0,36638.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,39.590153870470154,1.0,STRONG,36978.0,36990.0,36941.0,36964.0,786.0,0.0,True,False,True
2026-04-15 10:45:00,36967.0,37002.0,36953.0,36986.0,639.0,2026-04-15,False,35.833333333333336,63.0,-41.66666666666666,36802.04346089186,0.0049985414343533,False,78.16666666666666,2.0,36944.96008334537,36825.2781882398,36825.2781882398,,True,False,False,53.12421974493918,63.44352053994664,-10.319300795007456,False,40.17857142857143,32.498667400535815,39.61159248128457,37102.49298465897,36826.207015341024,66.66666666666666,37071.0,36691.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,38.29031849982571,1.0,STRONG,36967.0,37002.0,36953.0,36986.0,639.0,0.0,True,False,True
2026-04-15 10:50:00,36985.0,37011.0,36979.0,36998.0,539.0,2026-04-15,True,14.166666666666664,59.0,-33.72222222222222,36803.78591461,0.0052770137789792,False,35.833333333333336,2.0,36950.01150397915,36830.94119846144,36830.94119846144,,True,False,False,51.05361354197521,60.965539140352355,-9.911925598377143,True,50.89285714285714,38.63006398130959,39.28441631462624,37089.23993090914,36859.26006909086,66.66666666666666,37071.0,36794.0,False,False,True,False,36558.0,36551.0,37071.0,True,False,37.24951558544924,1.0,STRONG,36985.0,37011.0,36979.0,36998.0,539.0,0.0,True,False,True
