ts,dir,k_vel,lr_curve,atr_n,gap_p,hour,label
2023-07-15 00:25:00,-1,-6.781706415150495e-05,-0.1902255639097744,0.00023577881465303285,5.78368999421631e-05,0,1
2023-07-17 09:01:00,1,8.425350049250888e-05,0.18345864661654135,0.0005132492818649161,-0.0005222235116629918,9,1
2023-07-18 00:12:00,-1,-2.2322175957406198e-05,-0.044360902255639094,0.00018183621516183423,0.0,0,1
2023-07-19 00:06:00,-1,1.8960857135260854e-05,-0.24135338345864676,0.00027322856811671,0.0,0,1
2023-07-20 00:07:00,1,6.717455629630135e-05,0.24135338345864665,0.00036315367661791226,0.0,0,0
2023-07-21 00:10:00,1,1.321489964494699e-05,0.05714285714285716,0.00024901239153189047,5.9094669660796596e-05,0,0
2023-07-22 00:09:00,-1,-2.15838143100235e-05,-0.07669172932330826,0.0002574991346340557,-0.0001181753722524226,0,0
2023-07-24 08:54:00,-1,1.8726735638084072e-05,-0.1255639097744361,0.000531600708800945,0.0020652622883106154,8,1
2023-07-25 00:08:00,-1,-1.872587865602418e-05,-0.12030075187969924,0.00020512219422141477,0.0,0,1
2023-07-26 00:06:00,1,1.1177134485779938e-05,0.06766917293233082,0.00012425241463859114,0.0,0,0
2023-07-27 00:08:00,-1,-1.1911344901351506e-05,-0.002255639097744372,0.00016684045881126174,0.0,0,1
2023-07-28 00:10:00,1,2.1008154747799806e-05,0.07894736842105263,0.00021899197580345264,0.0,0,1
2023-07-29 00:28:00,1,4.1568537678705784e-05,0.06992481203007517,0.00014384349827387802,-5.755726948313572e-05,0,0
2023-07-31 08:54:00,-1,8.487143246510379e-07,-0.12255639097744364,0.0004723025364699697,0.001206896551724138,8,1
2023-08-01 00:06:00,-1,-2.5182655316822647e-05,0.008270676691729373,0.00021290807380813226,0.0,0,0
2023-08-02 00:16:00,1,2.7850195198622456e-05,0.06315789473684211,0.00014180610934085182,0.0,0,0
2023-08-03 00:07:00,-1,-9.982040735782506e-05,0.012781954887217895,0.0003982528263103803,-5.986231667165519e-05,0,1
2023-08-04 09:00:00,1,0.00021262294525234966,-0.412781954887218,0.0006769875332107092,0.003229665071770335,9,0
2023-08-05 00:09:00,-1,-2.106170380272184e-05,-0.03759398496240603,0.0002668406072106262,0.0,0,0
2023-08-07 08:56:00,1,0.0002684839678378688,0.2609022556390981,0.0009185729524712576,0.00551634142001305,8,1
2023-08-08 00:15:00,-1,-1.1353062132891413e-05,-0.2142857142857143,0.00024425783520176544,0.0,0,1
2023-08-09 00:16:00,1,3.2223759801199496e-05,-0.027819548872180466,0.00016638083292804667,0.0,0,0
2023-08-10 00:08:00,1,8.558509425355583e-05,0.25714285714285723,0.0003749978693302879,0.0,0,0
2023-08-11 00:16:00,-1,-6.469837235179258e-05,-0.2,0.0004068174032202809,0.0,0,1
2023-08-12 00:06:00,1,6.925983011655515e-05,0.0,,0.0,0,0
2023-08-14 08:58:00,-1,-0.00011192410661554934,0.011278195488721554,0.0007088826453425545,0.00030180479266010745,8,1
2023-08-15 00:07:00,1,8.009347429290123e-05,0.17819548872180452,0.00029087183405544797,0.0,0,0
2023-08-16 00:08:00,-1,-2.6403868720658575e-05,-0.23383458646616542,0.0002620110219303225,0.0,0,1
2023-08-17 00:11:00,-1,-0.0001236648890043069,-0.11729323308270656,0.0004325032765399738,-6.109855196431844e-05,0,1
2023-08-18 00:06:00,-1,-2.5856648375314082e-05,-0.10150375939849621,0.0003168622821029238,0.0,0,0
2023-08-19 00:12:00,-1,1.3536539407604582e-05,-0.39548872180451133,0.0002966012980668574,-6.1031431187061336e-05,0,1
2023-08-21 08:52:00,1,0.00033851043063657825,0.5804511278195488,0.0006768013327780091,0.0031660983925962008,8,0
2023-08-22 00:14:00,1,7.038644386193073e-05,0.048872180451127845,0.0002312027779231883,0.00012227181023415052,0,1
2023-08-23 00:10:00,-1,-0.00010633265864986875,0.1473684210526316,0.00038407150713150957,0.0,0,1
2023-08-24 00:06:00,-1,-2.1076139829978582e-05,-0.12781954887218044,0.0002364472722582864,6.016847172081829e-05,0,0
2023-08-25 00:06:00,1,6.117386624214012e-05,0.050375939849624074,0.000344524642125028,-6.033546518643659e-05,0,1
2023-08-26 00:10:00,1,2.254583994279493e-05,0.2947368421052632,0.00045678786771423353,6.097932800780535e-05,0,1
2023-08-28 08:54:00,1,0.00010815391620660797,0.19624060150375944,0.0004848778713861446,0.0003036191401505951,8,1
2023-08-29 00:09:00,-1,-2.9072298708946286e-05,-0.028571428571428553,0.00023337021158899185,0.0,0,1
2023-08-30 00:09:00,1,3.1227586514992956e-05,0.07218045112781954,0.00018396194126908073,-0.00011983223487118035,0,1
2023-08-31 00:17:00,1,3.4345307688005687e-05,0.061654135338345864,0.00014514531607527065,0.0,0,1
2023-09-01 00:07:00,1,3.09701042199596e-05,0.04436090225563907,0.0002624468652658027,0.0,0,0
2023-09-02 00:09:00,1,1.874556705667916e-05,0.10150375939849621,0.00027131315567345955,0.0,0,1
2023-09-04 08:53:00,-1,1.968870584615627e-05,-0.0721804511278199,0.0005065247252747253,0.0017421602787456446,8,0
2023-09-05 00:24:00,1,1.868790223584012e-05,0.041353383458646614,7.252064705480854e-05,0.0001194885888397658,0,0
2023-09-06 00:16:00,1,3.416281533571987e-05,-0.02180451127819555,0.00017884821747943245,5.9655192984549304e-05,0,0
2023-09-07 00:09:00,-1,-3.112523455230913e-05,-0.06616541353383457,0.00021064034665382763,-6.0164851693640576e-05,0,1
2023-09-08 00:08:00,1,4.456842747452927e-05,0.13082706766917296,0.00022519011242183305,6.0679611650485434e-05,0,1
2023-09-09 00:12:00,1,1.4299485868584975e-05,0.07518796992481203,0.00017666474202638767,0.0,0,1
2023-09-11 08:57:00,-1,-6.478611277165139e-05,-0.1323308270676692,0.00045319958909903924,-0.0006038647342995169,8,1
2023-09-12 00:07:00,1,5.022614378191104e-05,0.0,,0.0,0,0
2023-09-13 00:06:00,1,3.793415932857829e-05,-0.0037593984962406013,0.0001768567805164218,0.0,0,0
2023-09-14 00:13:00,-1,-3.2706020599722355e-05,-0.1962406015037594,0.00020601919412158566,0.0,0,0
2023-09-15 00:09:00,-1,-3.5856571555964534e-05,-0.12706766917293233,0.00015277023356871267,0.0,0,1
2023-09-16 00:40:00,1,2.0659767061662103e-05,0.03759398496240601,0.00013210152215044232,5.966587112171838e-05,0,0
2023-09-18 09:01:00,1,0.00011844397383682313,0.05338345864661642,0.0004431264273783959,0.001909649698633407,9,1
2023-09-19 00:06:00,-1,-2.86629935300556e-05,-0.11353383458646615,0.0002305386920771536,0.0,0,0
2023-09-20 00:06:00,-1,-7.008657205903941e-05,-0.1481203007518797,0.0002200989150418188,6.036460219727152e-05,0,0
2023-09-21 00:07:00,-1,-5.376894609368679e-06,-0.08045112781954883,0.00012886265817891292,6.0117830948659375e-05,0,1
2023-09-22 00:35:00,1,6.929358836926576e-05,0.11127819548872181,0.0002234196346431857,0.0,0,0
2023-09-23 00:13:00,1,1.523121630185644e-05,0.0962406015037594,0.00023570904773544715,-6.112469437652811e-05,0,1
2023-09-25 08:53:00,1,0.00013214210872027708,0.27368421052631575,0.0003969950528308801,0.0001223091976516634,8,1
2023-09-26 00:16:00,1,4.603434917297764e-05,0.12255639097744361,0.00015637488271883797,-6.085316132173066e-05,0,1
2023-09-27 00:09:00,1,2.914294939882682e-05,0.05789473684210526,0.00022831852190101514,-6.148927012236365e-05,0,0
2023-09-28 01:14:00,-1,-9.548958657610001e-05,-0.1842105263157895,0.00029430627179843097,0.0,1,1
2023-09-29 00:23:00,1,3.634773538268471e-05,0.06992481203007517,0.00018696302480086265,0.0,0,1
2023-10-02 09:09:00,1,0.000136719765036202,0.23684210526315785,0.0007170068849938234,0.006230718044885367,9,1
2023-10-03 00:11:00,-1,-7.159145164077255e-05,0.022556390977443774,0.00027766208524226016,-0.00012137395314965408,0,0
2023-10-04 00:18:00,1,5.757357978197713e-05,-0.12030075187969924,0.00023609860177161395,6.130080304051984e-05,0,0
2023-10-05 00:08:00,-1,-1.0216643502471041e-05,-0.02857142857142858,0.0003500542584100536,6.12032560132199e-05,0,0
2023-10-06 00:06:00,1,3.863897786990724e-05,0.060902255639097735,0.000261148880977045,0.0,0,1
2023-10-07 00:06:00,-1,-4.367699047210258e-06,-0.268421052631579,0.00033064807021762654,6.007449237053947e-05,0,0
2023-10-11 09:00:00,-1,2.4404563670642116e-05,-1.371428571428571,0.0004730368968779565,0.010042189078376612,9,1
2023-10-12 00:08:00,1,5.190984247696173e-05,0.0,,-0.0001798668984951136,0,0
2023-10-13 00:22:00,1,6.485736877226779e-05,0.19849624060150375,0.00020396022775558766,0.0,0,0
2023-10-14 00:17:00,1,5.729720795870456e-05,-0.017293233082706805,0.0003211138798263416,6.0009601536245796e-05,0,1
2023-10-16 08:55:00,1,9.23216770369048e-05,0.1842105263157895,0.0005312585686865918,0.0006602244763219495,8,0
2023-10-17 00:08:00,1,2.0397171869355378e-05,-0.005263157894736845,0.0002258779406750767,5.967655308229397e-05,0,0
2023-10-18 00:30:00,1,6.286631419036695e-05,0.09774436090225563,0.00024810499118799515,0.0,0,0
2023-10-19 00:54:00,-1,-5.5709054081087846e-05,-0.10375939849624055,0.0001961604854318146,-6.0990485484264454e-05,0,1
2023-10-20 00:22:00,1,0.00018047261594416483,0.5368421052631579,0.0005085417779999655,-6.052536012589275e-05,0,0
2023-10-21 00:06:00,-1,-6.166628854712385e-05,-0.3007518796992481,0.0003148752306898392,-0.00012231667787902881,0,0
2023-10-23 09:02:00,-1,-4.996998264109924e-05,-0.773684210526316,0.00048117722194518077,0.0030581039755351682,9,1
2023-10-24 00:19:00,-1,-2.679461442584602e-05,-0.043609022556390986,0.000245188181929631,-6.127075546841493e-05,0,1
2023-10-25 00:09:00,-1,-4.5432929579351294e-05,-0.1548872180451128,0.00025299890948745913,0.0,0,1
2023-10-26 00:13:00,-1,-6.0475977354467024e-05,-0.08270676691729328,0.0003072951877573597,0.0,0,0
2023-10-27 00:06:00,-1,-6.199252532760662e-05,-0.44661654135338347,0.00035072764888166715,0.0,0,1
2023-10-28 00:15:00,-1,-5.910420478376966e-05,-0.20676691729323307,0.00031476095900127675,0.0,0,1
2023-10-30 08:56:00,1,0.00031547396693004594,0.39548872180451156,0.0007908037039655051,0.0027919096662116887,8,1
2023-10-31 00:09:00,-1,-1.900854790957406e-05,-0.16992481203007517,0.00021219033473025302,0.0,0,1
2023-11-01 00:15:00,-1,-6.810706828241221e-05,-0.2992481203007519,0.0003122268015486449,6.2375249500998e-05,0,0
2023-11-02 00:09:00,-1,-3.9635043597503655e-05,-0.1037593984962406,0.00023455478845813417,0.0,0,0
2023-11-03 00:09:00,1,1.580380614825763e-05,0.14511278195488725,0.0002604664085155151,6.0782883539995136e-05,0,0
2023-11-04 00:15:00,1,2.4358008708296226e-05,0.13082706766917296,0.00018501467209376373,0.0,0,1
2023-11-06 09:05:00,-1,-7.356909611774466e-05,-0.8766917293233083,0.000493646978021978,0.0038369304556354917,9,0
2023-11-07 00:06:00,1,3.914984030498016e-05,0.0007518796992481702,0.00023142394294971245,-6.002400960384154e-05,0,1
2023-11-08 00:12:00,-1,-6.196756933259332e-05,-0.2315789473684211,0.0003156027158893173,0.0,0,0
2023-11-09 00:08:00,-1,-6.9559441379349e-05,0.11804511278195484,0.0003590019745108598,0.0,0,0
2023-11-10 00:06:00,1,6.979403973113386e-05,0.07218045112781968,0.00022929157395927102,0.0,0,1
2023-11-11 00:06:00,1,0.00016511479630154085,0.009022556390977599,0.0003677527348967756,0.0,0,1
2023-11-13 09:01:00,-1,-0.00010257789343898312,0.0,0.0005940443890190263,-0.002946549590429607,9,1
2023-11-14 00:09:00,1,7.204281717235638e-05,0.09473684210526312,0.0002955956251847473,5.916809656233359e-05,0,1
2023-11-15 00:13:00,1,2.3910169495182355e-05,0.06766917293233082,0.0001747538882740141,0.0,0,0
2023-11-16 00:07:00,-1,-7.79560994125627e-06,-0.36917293233082704,0.000269447921934719,0.0,0,0
2023-11-17 00:13:00,-1,-8.41458972859912e-05,-0.31052631578947365,0.0003751719538121639,5.830563815520961e-05,0,0
2023-11-18 00:06:00,-1,-6.370849540662418e-05,-0.2338345864661654,0.0002243177003281685,0.0,0,0
2023-11-20 09:01:00,-1,-0.00018310173372343143,-1.0285714285714285,0.0007474648483892132,0.0009287745980147443,9,0
2023-11-21 02:03:00,1,7.114917926669904e-05,0.16917293233082706,0.0001860549730427017,5.795085767269355e-05,2,1
2023-11-22 01:50:00,1,2.8230955130542846e-05,0.08421052631578946,8.652514997692663e-05,0.0,1,1
2023-11-23 00:06:00,1,6.172464285318191e-05,0.33383458646616543,0.00039666471088927266,5.79139398853304e-05,0,1
2023-11-24 00:06:00,-1,-1.0345412863992145e-05,-0.027819548872180452,9.06820111621312e-05,0.00011539349180706209,0,1
2023-11-25 00:10:00,1,1.8544997906816944e-05,0.13308270676691725,0.00013206877481448462,0.0,0,0
2023-11-27 08:52:00,1,1.5642681771341785e-05,0.20000000000000018,0.0006321478151649369,-0.002144057483919569,8,1
2023-11-28 00:06:00,-1,-6.596735718464197e-05,-0.20977443609022556,0.00022417429136015676,0.0,0,0
2023-11-29 00:08:00,1,2.6761776176061507e-05,0.1142857142857143,0.0002509874917709019,0.0,0,0
2023-11-30 00:07:00,-1,-2.2788248017574864e-05,-0.21804511278195488,0.00020096463022508038,0.0,0,1
2023-12-01 00:07:00,-1,-1.3593393634635995e-05,0.012030075187969835,0.00026322499979435543,0.0,0,1
2023-12-02 00:09:00,1,6.133863503917983e-05,0.11503759398496238,0.000553550926685255,0.0,0,1
2023-12-04 09:04:00,1,4.310225101504637e-05,0.35714285714285715,0.0005473140765912953,-0.0016032064128256513,9,0
2023-12-05 00:08:00,-1,-4.572965825569139e-05,0.045112781954887216,0.00031433534618247993,0.0,0,1
2023-12-06 00:07:00,1,8.755151327226913e-05,0.21127819548872173,0.0002880682145532062,5.766347595433053e-05,0,0
2023-12-07 00:23:00,-1,-8.372562444593633e-05,-0.2924812030075188,0.0002053961681290874,0.0,0,1
2023-12-08 00:10:00,1,3.942636711964705e-05,0.14436090225563902,0.00020161290322580645,0.0,0,1
2023-12-09 00:06:00,-1,-8.254175614812625e-07,-0.23533834586466162,0.0003367528808798285,0.0,0,1
2023-12-11 08:52:00,-1,-1.7561371965469338e-05,-0.11729323308270678,0.0004919040787046525,0.0008029364533149805,8,1
